column,dtype,missing_count,missing_pct,unique_values,role
user_id,int64,0,0.0,133752,id_or_audit_key
loan_category,object,0,0.0,7,categorical
amount,float64,27638,20.5614,86156,mathematical_numeric
interest_rate,float64,0,0.0,137,mathematical_numeric
tenure_years,int64,0,0.0,2,other
record_sequence,int64,0,0.0,2,id_or_audit_key
employment_type,object,0,0.0,3,categorical
tier_of_employment,object,0,0.0,8,categorical
industry,object,0,0.0,12974,categorical
role,object,0,0.0,46,categorical
work_experience,object,0,0.0,7,categorical
total_income_pa,float64,0,0.0,11380,mathematical_numeric
gender,object,0,0.0,3,sensitive_or_proxy_review
married,object,0,0.0,3,sensitive_or_proxy_review
dependents,int64,0,0.0,5,sensitive_or_proxy_review
home,object,0,0.0,4,sensitive_or_proxy_review
pincode,object,0,0.0,844,sensitive_or_proxy_review
social_profile,object,0,0.0,3,sensitive_or_proxy_review
is_verified,object,0,0.0,4,sensitive_or_proxy_review
delinq_2yrs,int64,0,0.0,22,mathematical_numeric
total_payment,float64,0,0.0,104202,repayment_monitoring_leakage_risk
received_principal,float64,0,0.0,42022,repayment_monitoring_leakage_risk
interest_received,float64,0,0.0,93862,repayment_monitoring_leakage_risk
number_of_loans,int64,0,0.0,5,other
defaulter,int64,0,0.0,2,target
amount_missing_raw_flag,int64,0,0.0,2,binary_flag
amount_non_positive_flag,int64,0,0.0,2,binary_flag
industry_placeholder_zero_flag,int64,0,0.0,2,binary_flag
work_experience_placeholder_zero_flag,int64,0,0.0,2,binary_flag
amount_missing_flag,int64,0,0.0,2,binary_flag
employment_type_missing_flag,int64,0,0.0,2,binary_flag
tier_of_employment_missing_flag,int64,0,0.0,2,binary_flag
industry_missing_flag,int64,0,0.0,2,binary_flag
work_experience_missing_flag,int64,0,0.0,2,binary_flag
married_missing_flag,int64,0,0.0,2,binary_flag
social_profile_missing_flag,int64,0,0.0,2,binary_flag
is_verified_missing_flag,int64,0,0.0,2,binary_flag
loan_to_income_ratio,float64,27638,20.5614,104531,mathematical_numeric
payment_to_amount_ratio,float64,27638,20.5614,106764,repayment_monitoring_leakage_risk
principal_to_amount_ratio,float64,27638,20.5614,106248,repayment_monitoring_leakage_risk
interest_to_amount_ratio,float64,27638,20.5614,106695,repayment_monitoring_leakage_risk
principal_exceeds_amount_flag,int64,0,0.0,2,repayment_monitoring_leakage_risk
core_data_quality_issue_count,int64,0,0.0,2,binary_flag
has_core_data_quality_issue,int64,0,0.0,2,binary_flag
broad_data_quality_issue_count,int64,0,0.0,4,other
has_broad_data_quality_issue,int64,0,0.0,2,binary_flag
