feature,dtype,psi_train_vs_validation,psi_train_vs_test,ks_train_vs_validation_pvalue,ks_train_vs_test_pvalue,max_psi,psi_severity
industry,object,1.679586,1.676352,,,1.679586,large_shift
pincode,object,0.049755,0.054668,,,0.054668,stable
role,object,0.002592,0.002857,,,0.002857,stable
loan_to_income_ratio,float64,0.000378,0.001126,0.990495,0.295181,0.001126,stable
principal_to_amount_ratio,float64,0.000662,0.001087,0.152442,0.725647,0.001087,stable
received_principal,float64,0.000875,0.000438,0.056841,0.494980,0.000875,stable
payment_to_amount_ratio,float64,0.000563,0.000805,0.781395,0.554133,0.000805,stable
total_income_pa,float64,0.000723,0.000574,0.547691,0.814569,0.000723,stable
interest_to_amount_ratio,float64,0.000667,0.000503,0.709479,0.972627,0.000667,stable
interest_rate,float64,0.000634,0.000397,0.140703,0.932430,0.000634,stable
total_payment,float64,0.000614,0.000284,0.222410,0.816230,0.000614,stable
tier_of_employment,object,0.000379,0.000480,,,0.000480,stable
interest_received,float64,0.000241,0.000424,0.640240,0.781230,0.000424,stable
employment_type,object,0.000039,0.000366,,,0.000366,stable
amount,float64,0.000271,0.000360,0.872207,0.811783,0.000360,stable
social_profile,object,0.000328,0.000008,,,0.000328,stable
loan_category,object,0.000311,0.000199,,,0.000311,stable
work_experience,object,0.000279,0.000298,,,0.000298,stable
is_verified,object,0.000121,0.000191,,,0.000191,stable
gender,object,0.000107,0.000183,,,0.000183,stable
married,object,0.000106,0.000155,,,0.000155,stable
home,object,0.000008,0.000140,,,0.000140,stable
delinq_2yrs,int64,0.000059,0.000036,0.999999,0.999998,0.000059,stable
amount_missing_raw_flag,int64,,,0.980739,0.036656,,
amount_non_positive_flag,int64,,,1.000000,1.000000,,
industry_placeholder_zero_flag,int64,,,0.999993,1.000000,,
work_experience_placeholder_zero_flag,int64,,,0.999993,1.000000,,
amount_missing_flag,int64,,,0.981311,0.036940,,
employment_type_missing_flag,int64,,,0.999959,0.274476,,
tier_of_employment_missing_flag,int64,,,0.999959,0.274476,,
industry_missing_flag,int64,,,0.999989,1.000000,,
work_experience_missing_flag,int64,,,0.999989,1.000000,,
married_missing_flag,int64,,,0.905894,1.000000,,
social_profile_missing_flag,int64,,,0.210813,1.000000,,
is_verified_missing_flag,int64,,,1.000000,1.000000,,
principal_exceeds_amount_flag,int64,,,1.000000,1.000000,,
core_data_quality_issue_count,int64,,,0.999855,0.021321,,
has_core_data_quality_issue,int64,,,0.999855,0.021321,,
has_broad_data_quality_issue,int64,,,1.000000,0.998470,,
