raw_feature,feature_label,mean_abs_shap,directional_note,business_interpretation,regulatory_governance_note
interest_rate,Interest Rate,0.6285781495294844,Positive mean SHAP increases model score,Pricing/risk-based rate signal. Review for correlation with affordability and risk tiering.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
amount_missing_flag,Amount Missing Flag,0.1923724641557783,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
amount_missing_raw_flag,Amount Missing Raw Flag,0.18184187314411004,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1588578299234311,Negative mean SHAP lowers model score on average,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
total_income_pa,Total Income Pa,0.14196965013281443,Negative mean SHAP lowers model score on average,Capacity-to-pay signal. Use carefully; ensure missingness and income verification are documented.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
core_data_quality_issue_count,Core Data Quality Issue Count,0.1062402452584356,Negative mean SHAP lowers model score on average,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
amount,Amount,0.06302131421929032,Negative mean SHAP lowers model score on average,Exposure size signal. Higher exposure can increase potential loss and affordability pressure.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
income_to_loan_buffer,Income To Loan Buffer,0.062619120467647,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
high_interest_flag,High Interest Flag,0.061994557759928286,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
tenure_years,Tenure Years,0.0618123875274711,Negative mean SHAP lowers model score on average,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
loan_to_income_missing_flag,Loan To Income Missing Flag,0.061636231193629404,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
loan_category,Loan Category,0.05677720162082793,Negative mean SHAP lowers model score on average,Product/portfolio segment signal. Use for monitoring and fairness/proxy review.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
loan_to_income_ratio,Loan To Income Ratio,0.04892557635850001,Negative mean SHAP lowers model score on average,Affordability signal comparing exposure to income. Strong business-interpretable driver.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
home,Home,0.044754966495238475,Negative mean SHAP lowers model score on average,Housing/asset stability proxy. Requires fairness and reason-code sensitivity review.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
interest_rate_band,Interest Rate Band,0.043612938881087755,Positive mean SHAP increases model score,Model uses this feature as a predictive signal; validate business rationale and data lineage.,"Document lineage, timing, proxy-risk assessment, and whether the feature can support explainable adverse-action style communication."
