feature,feature_type,dtype,missing_count,missing_pct,unique_values,included_in_baseline_model
amount_band,categorical,object,0,0.0,6,True
dependents_band,categorical,object,0,0.0,3,True
employment_type,categorical,object,0,0.0,3,True
home,categorical,object,0,0.0,4,True
income_band,categorical,object,0,0.0,5,True
interest_rate_band,categorical,object,0,0.0,4,True
is_verified,categorical,object,0,0.0,4,True
loan_category,categorical,object,0,0.0,7,True
loan_to_income_band,categorical,object,0,0.0,6,True
tenure_band,categorical,object,0,0.0,2,True
tier_of_employment,categorical,object,0,0.0,8,True
work_experience,categorical,object,0,0.0,7,True
amount,numeric,float64,27638,20.561387324519963,86156,True
amount_log1p,numeric,float64,27638,20.561387324519963,86156,True
amount_missing_flag,numeric,int64,0,0.0,2,True
amount_missing_raw_flag,numeric,int64,0,0.0,2,True
amount_non_positive_flag,numeric,int64,0,0.0,2,True
broad_data_quality_issue_count,numeric,int64,0,0.0,4,True
core_data_quality_issue_count,numeric,int64,0,0.0,2,True
delinq_2yrs,numeric,int64,0,0.0,22,True
dependents,numeric,int64,0,0.0,5,True
employment_type_missing_flag,numeric,int64,0,0.0,2,True
has_broad_data_quality_issue,numeric,int64,0,0.0,2,True
has_core_data_quality_issue,numeric,int64,0,0.0,2,True
has_existing_loans_flag,numeric,int64,0,0.0,2,True
has_prior_delinquency_flag,numeric,int64,0,0.0,2,True
high_amount_flag,numeric,int64,0,0.0,2,True
high_interest_flag,numeric,int64,0,0.0,2,True
high_loan_to_income_flag,numeric,int64,0,0.0,2,True
industry_missing_flag,numeric,int64,0,0.0,2,True
industry_placeholder_zero_flag,numeric,int64,0,0.0,2,True
interest_rate,numeric,float64,0,0.0,137,True
interest_rate_x_lti,numeric,float64,27638,20.561387324519963,106720,True
is_verified_missing_flag,numeric,int64,0,0.0,2,True
loan_to_income_ratio,numeric,float64,27638,20.561387324519963,104531,True
loan_to_income_ratio_log1p,numeric,float64,27638,20.561387324519963,104531,True
low_income_flag,numeric,int64,0,0.0,2,True
married_missing_flag,numeric,int64,0,0.0,2,True
multiple_loans_flag,numeric,int64,0,0.0,2,True
number_of_loans,numeric,int64,0,0.0,5,True
social_profile_missing_flag,numeric,int64,0,0.0,2,True
tenure_years,numeric,int64,0,0.0,2,True
tier_of_employment_missing_flag,numeric,int64,0,0.0,2,True
total_income_pa,numeric,float64,0,0.0,11380,True
total_income_pa_log1p,numeric,float64,0,0.0,11380,True
very_high_loan_to_income_flag,numeric,int64,0,0.0,2,True
work_experience_missing_flag,numeric,int64,0,0.0,2,True
work_experience_placeholder_zero_flag,numeric,int64,0,0.0,2,True
