column,dtype,missing_count,missing_pct,unique_values
amount,float64,27638,20.5614,86156
interest_to_amount_ratio,float64,27638,20.5614,106695
principal_to_amount_ratio,float64,27638,20.5614,106248
payment_to_amount_ratio,float64,27638,20.5614,106764
loan_to_income_ratio,float64,27638,20.5614,104531
user_id,int64,0,0.0,133752
work_experience_missing_flag,int32,0,0.0,2
amount_non_positive_flag,int32,0,0.0,2
industry_placeholder_zero_flag,int32,0,0.0,2
work_experience_placeholder_zero_flag,int32,0,0.0,2
amount_missing_flag,int32,0,0.0,2
employment_type_missing_flag,int32,0,0.0,2
tier_of_employment_missing_flag,int32,0,0.0,2
industry_missing_flag,int32,0,0.0,2
is_verified_missing_flag,int32,0,0.0,2
married_missing_flag,int32,0,0.0,2
social_profile_missing_flag,int32,0,0.0,2
defaulter,int64,0,0.0,2
principal_exceeds_amount_flag,int32,0,0.0,2
core_data_quality_issue_count,int64,0,0.0,2
has_core_data_quality_issue,int32,0,0.0,2
broad_data_quality_issue_count,int64,0,0.0,4
amount_missing_raw_flag,int32,0,0.0,2
number_of_loans,int64,0,0.0,5
loan_category,string,0,0.0,7
interest_received,float64,0,0.0,93862
interest_rate,float64,0,0.0,137
tenure_years,int64,0,0.0,2
record_sequence,int64,0,0.0,2
employment_type,string,0,0.0,3
tier_of_employment,string,0,0.0,8
industry,string,0,0.0,12974
role,string,0,0.0,46
work_experience,string,0,0.0,7
total_income_pa,float64,0,0.0,11380
gender,string,0,0.0,3
married,string,0,0.0,3
dependents,int64,0,0.0,5
home,string,0,0.0,4
pincode,string,0,0.0,844
social_profile,string,0,0.0,3
is_verified,string,0,0.0,4
delinq_2yrs,int64,0,0.0,22
total_payment,float64,0,0.0,104202
received_principal,float64,0,0.0,42022
has_broad_data_quality_issue,int32,0,0.0,2
